week,detector_rh,detector_rl,josh_rh,josh_rl,audit_action,audit_reason
2025-01-12,2697.75,2596,2726.06,2586.4,EDIT,WRONG_RH
2025-01-19,2724.66,2596,2785.89,2586.4,EDIT,WRONG_RH
2025-02-02,2817.05,2596,2956.15,2772.07,EDIT,WRONG_RH
2025-06-08,3403.23,3120.81,3499.88,2956.66,EDIT,WRONG_RH
2025-06-15,3446.72,3120.81,3430.86,3120.81,EDIT,WRONG_RH
2025-06-22,3451.19,3293.35,3451.19,3120.81,EDIT,WRONG_RL
2025-06-29,3451.19,3256.12,3451.19,3248.86,EDIT,WRONG_RL
2025-07-06,3451.19,3248.86,3453.82,3248.86,EDIT,WRONG_RH
2025-07-13,3368.63,3248.86,3499.88,3120.81,EDIT,WRONG_RH
2025-07-20,3377.43,3248.86,4381.25,3886.56,EDIT,WRONG_RH
2025-07-27,3438.81,3248.86,4545.98,3886.56,EDIT,WRONG_RH
2025-08-10,3407.59,3268.06,5598.08,4274.6,EDIT,WRONG_RH
2025-12-07,4264.46,3997.99,4264.46,3997.99,REJECT,WRONG_RH
2025-12-28,4549.7,3997.99,4549.7,3997.99,REJECT,WRONG_RH
